"source"	"reviewStatus"	"reviewNote"	"reviewer"	"reviewedAt"	"reviewPriority"	"genre"	"title"	"creator"	"license"	"referenceUrl"	"candidateAudioUrl"	"identifier"	"sourceReviewQueue"
"wikimedia-commons"	""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"100"	"アニメソング"	"File:ANSWER TIME TRAVELING TOUR 2nd Season.wav"	"槇原敬之 Official Channel"	"CC-BY"	"https://commons.wikimedia.org/wiki/File:ANSWER_TIME_TRAVELING_TOUR_2nd_Season.wav"	"https://upload.wikimedia.org/wikipedia/commons/c/c5/ANSWER_TIME_TRAVELING_TOUR_2nd_Season.wav"	"File:ANSWER TIME TRAVELING TOUR 2nd Season.wav"	"genre-training/wikimedia-commons-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"82"	"アニメソング"	"Aenvelora —「終焉の誓い」( Shūen No Chikai Oath At The End)"	"Aenvelora, Aenvelora "	"CC-BY-NC-ND"	"https://archive.org/details/aenvelora-shuen-no-chikai-oath-at-the-end"	"https://archive.org/download/aenvelora-shuen-no-chikai-oath-at-the-end/Aenvelora%20%E2%80%94%E3%80%8C%E7%B5%82%E7%84%89%E3%81%AE%E8%AA%93%E3%81%84%E3%80%8D(Sh%C5%ABen%20no%20Chikai%20Oath%20at%20the%20End).flac"	"aenvelora-shuen-no-chikai-oath-at-the-end"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"81"	"アニメソング"	"No Destination"	"Worlich"	"CC-BY-NC-ND"	"https://archive.org/details/NoDestination"	"https://archive.org/download/NoDestination/09.Transitoria-TempusFugit.flac"	"NoDestination"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"81"	"アニメソング"	"/jp/ Themesong 2"	"Original author insists to be attributed as ""Anonymous"""	"CC-BY"	"https://archive.org/details/Jp_Themesong_2"	"https://archive.org/download/Jp_Themesong_2/jp_Themesong_2_(Instrumental).flac"	"Jp_Themesong_2"	"genre-training/internet-archive-review-queue.tsv"
"wikimedia-commons"	""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"100"	"オペラ"	"File:PDP-CH - Meta Seinemeyer, soprano with Staatskapelle Berlin - La forza del destino - Sono giunta Grazie, o Dio - Verdi - Parlophon-p9116-20258.flac"	"http://pool.publicdomainproject.org/index.php?title=Parlophon-p9116-20258"	"Public Domain"	"https://commons.wikimedia.org/wiki/File:PDP-CH_-_Meta_Seinemeyer,_soprano_with_Staatskapelle_Berlin_-_La_forza_del_destino_-_Sono_giunta_Grazie,_o_Dio_-_Verdi_-_Parlophon-p9116-20258.flac"	"https://upload.wikimedia.org/wikipedia/commons/8/8d/PDP-CH_-_Meta_Seinemeyer%2C_soprano_with_Staatskapelle_Berlin_-_La_forza_del_destino_-_Sono_giunta_Grazie%2C_o_Dio_-_Verdi_-_Parlophon-p9116-20258.flac"	"File:PDP-CH - Meta Seinemeyer, soprano with Staatskapelle Berlin - La forza del destino - Sono giunta Grazie, o Dio - Verdi - Parlophon-p9116-20258.flac"	"genre-training/wikimedia-commons-review-queue.tsv"
"wikimedia-commons"	""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"100"	"オペラ"	"File:PDP-CH - Meta Seinemeyer, soprano with Staatskapelle Berlin - La forza del destino - Deh, non m'abbandonar - Verdi - Parlophon-p9116-20259.flac"	"http://pool.publicdomainproject.org/index.php?title=Parlophon-p9116-20259"	"Public Domain"	"https://commons.wikimedia.org/wiki/File:PDP-CH_-_Meta_Seinemeyer,_soprano_with_Staatskapelle_Berlin_-_La_forza_del_destino_-_Deh,_non_m%27abbandonar_-_Verdi_-_Parlophon-p9116-20259.flac"	"https://upload.wikimedia.org/wikipedia/commons/9/9a/PDP-CH_-_Meta_Seinemeyer%2C_soprano_with_Staatskapelle_Berlin_-_La_forza_del_destino_-_Deh%2C_non_m%27abbandonar_-_Verdi_-_Parlophon-p9116-20259.flac"	"File:PDP-CH - Meta Seinemeyer, soprano with Staatskapelle Berlin - La forza del destino - Deh, non m'abbandonar - Verdi - Parlophon-p9116-20259.flac"	"genre-training/wikimedia-commons-review-queue.tsv"
"wikimedia-commons"	""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"100"	"オペラ"	"File:J.S.Bach from Cantata BWV80 ""Ein' feste Burg ist unser Gott"", Aria for soprano with oboe obbligato.wav"	"J.S.Bach"	"Public Domain"	"https://commons.wikimedia.org/wiki/File:J.S.Bach_from_Cantata_BWV80_%22Ein%27_feste_Burg_ist_unser_Gott%22,_Aria_for_soprano_with_oboe_obbligato.wav"	"https://upload.wikimedia.org/wikipedia/commons/f/fa/J.S.Bach_from_Cantata_BWV80_%22Ein%27_feste_Burg_ist_unser_Gott%22%2C_Aria_for_soprano_with_oboe_obbligato.wav"	"File:J.S.Bach from Cantata BWV80 ""Ein' feste Burg ist unser Gott"", Aria for soprano with oboe obbligato.wav"	"genre-training/wikimedia-commons-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"91"	"オペラ"	"Tryad - Public Domain"	"Tryad"	"CC-BY-SA"	"https://archive.org/details/TryadTryadPublicDomain"	"https://archive.org/download/TryadTryadPublicDomain/Tryad__06__Witness.mp3"	"TryadTryadPublicDomain"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"90"	"オペラ"	"Complex Numbers - 2032: Легенда о несбывшемся грядущем. Техно-опера."	"Complex Numbers"	"CC-BY-SA"	"https://archive.org/details/jamendo-488156"	"https://archive.org/download/jamendo-488156/33-1957536-Complex%20Numbers-2032%20_____%202.mp3"	"jamendo-488156"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"77"	"オペラ"	"Raíces 447 16012020 Samuel Maýnez Champion"	"Raíces UDEM"	"CC-BY-NC-ND"	"https://archive.org/details/raices44716012020samuelmaynezchampion"	"https://archive.org/download/raices44716012020samuelmaynezchampion/Ra%C3%ADces%20447%20-%2016012020%20-%20Samuel%20Ma%C3%BDnez%20Champion.mp3"	"raices44716012020samuelmaynezchampion"	"genre-training/internet-archive-review-queue.tsv"
