"reviewStatus"	"genre"	"macroGenre"	"role"	"score"	"freesoundId"	"name"	"username"	"duration"	"license"	"licenseUrl"	"referenceUrl"	"downloadUrl"	"previewUrl"	"query"	"tags"
"needs-api-token"	"ダブステップ"	"electronic"	"same-macro-contrast"	""	""	""	""	""	""	""	""	""	""	"dubstep loop"	""
"needs-api-token"	"チップチューン"	"electronic"	"same-macro-contrast"	""	""	""	""	""	""	""	""	""	""	"chiptune loop"	""
"needs-api-token"	"テクノ"	"electronic"	"primary"	""	""	""	""	""	""	""	""	""	""	"techno loop"	""
"needs-api-token"	"テクノ"	"electronic"	"primary"	""	""	""	""	""	""	""	""	""	""	"minimal techno loop"	""
"needs-api-token"	"テクノ"	"electronic"	"primary"	""	""	""	""	""	""	""	""	""	""	"acid techno loop"	""
"needs-api-token"	"テクノ"	"electronic"	"primary"	""	""	""	""	""	""	""	""	""	""	"warehouse techno loop"	""
"needs-api-token"	"テクノ"	"electronic"	"primary"	""	""	""	""	""	""	""	""	""	""	"909 techno loop"	""
"needs-api-token"	"ドラムンベース"	"electronic"	"same-macro-contrast"	""	""	""	""	""	""	""	""	""	""	"drum and bass loop"	""
"needs-api-token"	"トランス"	"electronic"	"same-macro-contrast"	""	""	""	""	""	""	""	""	""	""	"trance loop"	""
"needs-api-token"	"ハウス"	"electronic"	"same-macro-contrast"	""	""	""	""	""	""	""	""	""	""	"house loop"	""
