"reviewStatus"	"reviewPriority"	"genre"	"title"	"creator"	"license"	"referenceUrl"	"candidateAudioUrl"	"identifier"
""	"82"	"アニメソング"	"Aenvelora —「終焉の誓い」( Shūen No Chikai Oath At The End)"	"Aenvelora, Aenvelora "	"CC-BY-NC-ND"	"https://archive.org/details/aenvelora-shuen-no-chikai-oath-at-the-end"	"https://archive.org/download/aenvelora-shuen-no-chikai-oath-at-the-end/Aenvelora%20%E2%80%94%E3%80%8C%E7%B5%82%E7%84%89%E3%81%AE%E8%AA%93%E3%81%84%E3%80%8D(Sh%C5%ABen%20no%20Chikai%20Oath%20at%20the%20End).flac"	"aenvelora-shuen-no-chikai-oath-at-the-end"
""	"81"	"アニメソング"	"No Destination"	"Worlich"	"CC-BY-NC-ND"	"https://archive.org/details/NoDestination"	"https://archive.org/download/NoDestination/09.Transitoria-TempusFugit.flac"	"NoDestination"
""	"81"	"アニメソング"	"/jp/ Themesong 2"	"Original author insists to be attributed as ""Anonymous"""	"CC-BY"	"https://archive.org/details/Jp_Themesong_2"	"https://archive.org/download/Jp_Themesong_2/jp_Themesong_2_(Instrumental).flac"	"Jp_Themesong_2"
""	"91"	"オペラ"	"Tryad - Public Domain"	"Tryad"	"CC-BY-SA"	"https://archive.org/details/TryadTryadPublicDomain"	"https://archive.org/download/TryadTryadPublicDomain/Tryad__06__Witness.mp3"	"TryadTryadPublicDomain"
""	"90"	"オペラ"	"Complex Numbers - 2032: Легенда о несбывшемся грядущем. Техно-опера."	"Complex Numbers"	"CC-BY-SA"	"https://archive.org/details/jamendo-488156"	"https://archive.org/download/jamendo-488156/33-1957536-Complex%20Numbers-2032%20_____%202.mp3"	"jamendo-488156"
""	"77"	"オペラ"	"Raíces 447 16012020 Samuel Maýnez Champion"	"Raíces UDEM"	"CC-BY-NC-ND"	"https://archive.org/details/raices44716012020samuelmaynezchampion"	"https://archive.org/download/raices44716012020samuelmaynezchampion/Ra%C3%ADces%20447%20-%2016012020%20-%20Samuel%20Ma%C3%BDnez%20Champion.mp3"	"raices44716012020samuelmaynezchampion"
""	"63"	"オペラ"	"BS052 Mother Superior and Her Fields of Migraine"	"Radio For The Daydreamers"	"CC-BY-NC-ND"	"https://archive.org/details/BS052"	"https://archive.org/download/BS052/10-No_One_Ever_Comes_Here_But_Me-Dod_Av_En_Spokelse_Versjon.mp3"	"BS052"
""	"60"	"オペラ"	"2009/05/01 Direkt Laiiw From Ze Hell Zass"	"Direkt Laiw From Ze Hell Zass"	"CC-BY-NC-ND"	"https://archive.org/details/20090501DirektLaiiwFromZeHellZass"	"https://archive.org/download/20090501DirektLaiiwFromZeHellZass/02DeuxiemePartieLeSoprano.mp3"	"20090501DirektLaiiwFromZeHellZass"
""	"81"	"シティ・ポップ"	"[dystopiaq030] Dust Collector - Narcolepsy"	"Dust Collector"	"CC-BY-NC-ND"	"https://archive.org/details/dystopiaq030"	"https://archive.org/download/dystopiaq030/19Wonderlost_wanderlost_wonderlustdayDreams.mp3"	"dystopiaq030"
""	"80"	"シティ・ポップ"	"Barzin - It's Come to This [BadPanda005]"	"Barzin"	"CC-BY-NC-ND"	"https://archive.org/details/badpanda005"	"https://archive.org/download/badpanda005/Barzin-ItsComeToThis.mp3"	"badpanda005"
""	"79"	"シティ・ポップ"	"TT 00040 BOTTLESMOKER HYPNAGOGIC REMIX"	"papaontacult"	"CC-BY-NC-SA"	"https://archive.org/details/TT00040BOTTLESMOKERHYPNAGOGICREMIX"	"https://archive.org/download/TT00040BOTTLESMOKERHYPNAGOGICREMIX/BoredomAndFreedomcerumentric.mp3"	"TT00040BOTTLESMOKERHYPNAGOGICREMIX"
""	"77"	"シティ・ポップ"	"Laszlo Hollyfield - Exodo [rith008]"	"Laszlo Hollyfield"	"CC-BY-NC-ND"	"https://archive.org/details/rith008"	"https://archive.org/download/rith008/08_Laszlo_Hollyfield_-_E-Motion.mp3"	"rith008"
""	"86"	"ソウルミュージック"	"MNF023 Dsum & Morris - Arium FL"	"Dsum"	"CC-BY-SA"	"https://archive.org/details/MNF023_Dsum_Morris--Arium_FL"	"https://archive.org/download/MNF023_Dsum_Morris--Arium_FL/02_Dsum_Morris_-_Danza_Planetaria.mp3"	"MNF023_Dsum_Morris--Arium_FL"
""	"85"	"ソウルミュージック"	"[RAR026] Pedro Duarte - Pacific Blue EP"	"Pedro Duarte"	"CC-BY-NC-SA"	"https://archive.org/details/RAR026_Pedro_Duarte_Pacific_Blue_EP"	"https://archive.org/download/RAR026_Pedro_Duarte_Pacific_Blue_EP/01_Pacific_Blue.mp3"	"RAR026_Pedro_Duarte_Pacific_Blue_EP"
""	"85"	"ソウルミュージック"	"The Clones of Dr. Funkenstein (2016)"	"chēēZ π"	"CC-BY-NC-SA"	"https://archive.org/details/theclonesofdrfunkenstein_2016"	"https://archive.org/download/theclonesofdrfunkenstein_2016/05%20-%20Funky%20Drummer%20(Part%201).flac"	"theclonesofdrfunkenstein_2016"
""	"81"	"ソウルミュージック"	"[45rpm053-2012] Jared C. Balogh  - Drifting Soul"	"Jared C. Balogh"	"CC-BY-NC-ND"	"https://archive.org/details/45rpm053-2012JaredC.Balogh-DriftingSoul"	"https://archive.org/download/45rpm053-2012JaredC.Balogh-DriftingSoul/01Jared_C_Balog_-_Emotions_leading_To_Howhere.mp3"	"45rpm053-2012JaredC.Balogh-DriftingSoul"
""	"81"	"ソウルミュージック"	"[45E002-2011] Ollie Cram - Jazzstow"	"Ollie Cram"	"CC-BY-NC-ND"	"https://archive.org/details/45rpm049-e2011OllieCram-Jazzstow"	"https://archive.org/download/45rpm049-e2011OllieCram-Jazzstow/05spiritual_homeland.mp3"	"45rpm049-e2011OllieCram-Jazzstow"
""	"81"	"ソウルミュージック"	"[45E-015-2013] Trans Atlantic Rage/Balogh - I::::SOUL::::ATE VOLUME 4   "	"Trans Atlantic Rage/Balogh "	"CC-BY-NC-ND"	"https://archive.org/details/45e-015-2013TransAtlanticRagebalogh-IsoulateVolume4"	"https://archive.org/download/45e-015-2013TransAtlanticRagebalogh-IsoulateVolume4/02-Soul_Increments.mp3"	"45e-015-2013TransAtlanticRagebalogh-IsoulateVolume4"
""	"81"	"ソウルミュージック"	"An endless Tomorrow by Enuma Elish (Spanish Metal band)"	"Enuma Elish (Spanish Metal Band)"	"CC-BY-NC-ND"	"https://archive.org/details/AnEndlessTomorrowByEnumaElish"	"https://archive.org/download/AnEndlessTomorrowByEnumaElish/11-AnEndlessTomorrow.mp3"	"AnEndlessTomorrowByEnumaElish"
""	"81"	"ソウルミュージック"	"[SRmp3 133] Grr - Snuffcraft (Sociopath Recordings)"	"Grr"	"CC-BY-NC-ND"	"https://archive.org/details/SRmp3_133"	"https://archive.org/download/SRmp3_133/SRmp3_133.mp3"	"SRmp3_133"
