"reviewStatus"	"reviewNote"	"genre"	"macroGenre"	"matchScore"	"reviewPriority"	"riskFlags"	"title"	"creator"	"license"	"licenseUrl"	"referenceUrl"	"candidateAudioUrl"	"identifier"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"アニメソング"	"pop"	"90"	"100"	""	"File:ANSWER TIME TRAVELING TOUR 2nd Season.wav"	"槇原敬之 Official Channel"	"CC-BY"	"https://creativecommons.org/licenses/by/3.0"	"https://commons.wikimedia.org/wiki/File:ANSWER_TIME_TRAVELING_TOUR_2nd_Season.wav"	"https://upload.wikimedia.org/wikipedia/commons/c/c5/ANSWER_TIME_TRAVELING_TOUR_2nd_Season.wav"	"File:ANSWER TIME TRAVELING TOUR 2nd Season.wav"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"アニメソング"	"pop"	"51"	"38"	"spoken-or-intro"	"File:Inleiding Gabriela Montero (audio).mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_Gabriela_Montero_(audio).mp3"	"https://upload.wikimedia.org/wikipedia/commons/a/a4/Inleiding_Gabriela_Montero_%28audio%29.mp3"	"File:Inleiding Gabriela Montero (audio).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"アニメソング"	"pop"	"51"	"38"	"spoken-or-intro"	"File:Inleiding Mauro Peter & Helmut Deutsch (audio) 2973.mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_Mauro_Peter_%26_Helmut_Deutsch_(audio)_2973.mp3"	"https://upload.wikimedia.org/wikipedia/commons/3/36/Inleiding_Mauro_Peter_%26_Helmut_Deutsch_%28audio%29_2973.mp3"	"File:Inleiding Mauro Peter & Helmut Deutsch (audio) 2973.mp3"
"approved"	"approved: public domain Verdi opera aria recording"	"オペラ"	"classical"	"86"	"100"	""	"File:PDP-CH - Meta Seinemeyer, soprano with Staatskapelle Berlin - La forza del destino - Sono giunta Grazie, o Dio - Verdi - Parlophon-p9116-20258.flac"	"http://pool.publicdomainproject.org/index.php?title=Parlophon-p9116-20258"	"Public Domain"	""	"https://commons.wikimedia.org/wiki/File:PDP-CH_-_Meta_Seinemeyer,_soprano_with_Staatskapelle_Berlin_-_La_forza_del_destino_-_Sono_giunta_Grazie,_o_Dio_-_Verdi_-_Parlophon-p9116-20258.flac"	"https://upload.wikimedia.org/wikipedia/commons/8/8d/PDP-CH_-_Meta_Seinemeyer%2C_soprano_with_Staatskapelle_Berlin_-_La_forza_del_destino_-_Sono_giunta_Grazie%2C_o_Dio_-_Verdi_-_Parlophon-p9116-20258.flac"	"File:PDP-CH - Meta Seinemeyer, soprano with Staatskapelle Berlin - La forza del destino - Sono giunta Grazie, o Dio - Verdi - Parlophon-p9116-20258.flac"
"approved"	"approved: public domain Verdi opera aria recording"	"オペラ"	"classical"	"86"	"100"	""	"File:PDP-CH - Meta Seinemeyer, soprano with Staatskapelle Berlin - La forza del destino - Deh, non m'abbandonar - Verdi - Parlophon-p9116-20259.flac"	"http://pool.publicdomainproject.org/index.php?title=Parlophon-p9116-20259"	"Public Domain"	""	"https://commons.wikimedia.org/wiki/File:PDP-CH_-_Meta_Seinemeyer,_soprano_with_Staatskapelle_Berlin_-_La_forza_del_destino_-_Deh,_non_m%27abbandonar_-_Verdi_-_Parlophon-p9116-20259.flac"	"https://upload.wikimedia.org/wikipedia/commons/9/9a/PDP-CH_-_Meta_Seinemeyer%2C_soprano_with_Staatskapelle_Berlin_-_La_forza_del_destino_-_Deh%2C_non_m%27abbandonar_-_Verdi_-_Parlophon-p9116-20259.flac"	"File:PDP-CH - Meta Seinemeyer, soprano with Staatskapelle Berlin - La forza del destino - Deh, non m'abbandonar - Verdi - Parlophon-p9116-20259.flac"
"approved"	"approved: public domain soprano aria/classical vocal; useful opera-adjacent training sample"	"オペラ"	"classical"	"86"	"100"	""	"File:J.S.Bach from Cantata BWV80 ""Ein' feste Burg ist unser Gott"", Aria for soprano with oboe obbligato.wav"	"J.S.Bach"	"Public Domain"	""	"https://commons.wikimedia.org/wiki/File:J.S.Bach_from_Cantata_BWV80_%22Ein%27_feste_Burg_ist_unser_Gott%22,_Aria_for_soprano_with_oboe_obbligato.wav"	"https://upload.wikimedia.org/wikipedia/commons/f/fa/J.S.Bach_from_Cantata_BWV80_%22Ein%27_feste_Burg_ist_unser_Gott%22%2C_Aria_for_soprano_with_oboe_obbligato.wav"	"File:J.S.Bach from Cantata BWV80 ""Ein' feste Burg ist unser Gott"", Aria for soprano with oboe obbligato.wav"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"38"	"spoken-or-intro"	"File:Purcell ""What power art thou?"", orchestral introduction to the aria from King Arthur Act 3.wav"	"Henry Purcell"	"Public Domain"	""	"https://commons.wikimedia.org/wiki/File:Purcell_%22What_power_art_thou%3F%22,_orchestral_introduction_to_the_aria_from_King_Arthur_Act_3.wav"	"https://upload.wikimedia.org/wikipedia/commons/c/ca/Purcell_%22What_power_art_thou%3F%22%2C_orchestral_introduction_to_the_aria_from_King_Arthur_Act_3.wav"	"File:Purcell ""What power art thou?"", orchestral introduction to the aria from King Arthur Act 3.wav"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"38"	"spoken-or-intro"	"File:Inleiding Kammerorchester Basel (audio).mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_Kammerorchester_Basel_(audio).mp3"	"https://upload.wikimedia.org/wikipedia/commons/c/cc/Inleiding_Kammerorchester_Basel_%28audio%29.mp3"	"File:Inleiding Kammerorchester Basel (audio).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"38"	"spoken-or-intro"	"File:Inleiding Asko & Schönberg Ensemble - Reinbert de Leeuw (audio).mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_Asko_%26_Sch%C3%B6nberg_Ensemble_-_Reinbert_de_Leeuw_(audio).mp3"	"https://upload.wikimedia.org/wikipedia/commons/9/9e/Inleiding_Asko_%26_Sch%C3%B6nberg_Ensemble_-_Reinbert_de_Leeuw_%28audio%29.mp3"	"File:Inleiding Asko & Schönberg Ensemble - Reinbert de Leeuw (audio).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"38"	"spoken-or-intro"	"File:Inleiding Festival Strings Lucerne (audio).mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_Festival_Strings_Lucerne_(audio).mp3"	"https://upload.wikimedia.org/wikipedia/commons/6/67/Inleiding_Festival_Strings_Lucerne_%28audio%29.mp3"	"File:Inleiding Festival Strings Lucerne (audio).mp3"
